,endTime,artistName,trackName,msPlayed
199,2023-11-08 21:16,aupinard,Brasilia,13279
200,2023-11-08 21:16,aupinard,Brasilia,27029
201,2023-11-08 21:17,Moji x Sboy,EDWARD,83606
202,2023-11-08 21:19,nelick,debout dans la cuisine,79166
203,2023-11-08 21:19,Bekar,Un matelas sur le sol,9009
204,2023-11-08 21:19,Disiz,SUBLIME,47299
205,2023-11-08 21:22,Disiz,OH MADELEINE,159603
206,2023-11-08 21:24,aupinard,quel type de vibe?,116435
207,2023-11-08 21:25,YG Pablo,Ascenseur,74162
208,2023-11-08 21:28,Pink Lily,Quoicoubeh,138576
209,2023-11-08 21:28,Poop Man,La chanson du caca,31021
210,2023-11-08 21:29,Ozwaa,Quoicoubeh (Remix),16579
211,2023-11-08 21:33,Majes,Macron Explosion,175629
212,2023-11-08 21:39,Lost Frequencies,Where Are You Now,13815
213,2023-11-08 21:39,Dutch Hour,Sonar - NeuroBeatz Remix,3059
214,2023-11-08 21:41,Lost Frequencies,Are You With Me,138013
215,2023-11-08 21:42,Lost Frequencies,The Feeling,16224
216,2023-11-08 21:43,BENNETT,Vois sur ton chemin - Techno Mix,78390
217,2023-11-09 08:10,BENNETT,Vois sur ton chemin - Techno Mix,33274
218,2023-11-09 08:13,Disiz,MODE D’EMPLOI,215653
219,2023-11-09 08:16,Disiz,DANDY OG,173960
220,2023-11-09 08:19,Disiz,QUARANTE-CINQ,1160
221,2023-11-09 08:19,Disiz,OH MADELEINE,5461
222,2023-11-09 08:19,Disiz,CONS’ DE LOVE,165826
223,2023-11-09 08:22,Disiz,OH MADELEINE,158853
224,2023-11-09 08:26,Disiz,QUARANTE-CINQ,226880
225,2023-11-09 08:30,Disiz,SUBLIME,155893
226,2023-11-09 08:34,Disiz,CASINO,201773
227,2023-11-09 08:40,Disiz,TUE L'AMOUR,173493
228,2023-11-09 08:43,Disiz,WEEKEND LOVER,166520
229,2023-11-09 16:52,Disiz,ALLELUIA,493
230,2023-11-09 16:52,Disiz,POIDS LOURD,171306
231,2023-11-09 16:52,Ozwaa,Quoicoubeh (Remix),22616
232,2023-11-09 16:54,Pink Lily,Quoicoubeh,73212
233,2023-11-09 16:56,aupinard,quel type de vibe?,116435
234,2023-11-09 16:58,aupinard,texto,142429
235,2023-11-09 17:00,aupinard,c'est tout moi,89596
236,2023-11-09 17:01,aupinard,j'ai encore rêvé d'elle,83009
237,2023-11-09 17:03,aupinard,TNT,119925
238,2023-11-09 17:05,aupinard,bossa nova,106630
239,2023-11-09 17:08,Myra,des bisous,172052
240,2023-11-09 17:09,aupinard,en veux-tu en voilà,93106
241,2023-11-09 17:10,aupinard,sois en sûre,67439
242,2023-11-09 17:13,Nekfeu,Natsukashii,191773
243,2023-11-09 17:18,Nekfeu,Takotsubo,284786
244,2023-11-09 17:22,Nekfeu,Menteur menteur,225426
245,2023-11-09 17:26,Nekfeu,Ecrire,221253
246,2023-11-09 17:27,Nekfeu,Ciel noir,58546
247,2023-11-10 09:32,A & C,Ayways,25782
248,2023-11-10 09:33,pipetiger,Sunny Walk,89641
249,2023-11-10 09:35,dirtybirdie,for you,91717
250,2023-11-10 09:37,Fritz Pants,Sayuri,128998
251,2023-11-10 09:39,Blackburri,She Ski Lifts My Spirits,162033
252,2023-11-10 09:42,3scope,good times,131817
253,2023-11-10 09:43,eze east,Melt,106700
254,2023-11-10 09:45,merīkurisumasu!,The Day Before Yesterday,114320
255,2023-11-10 09:47,Rustique Beats,late night walking,107540
256,2023-11-10 09:49,Pi Teddy,Autumn Stroll,112670
257,2023-11-10 09:51,_tag,ting,16672
258,2023-11-10 09:51,Kisiaria,Nightrider,8115
259,2023-11-10 09:51,Rosa Mahoney,Guidance,131429
260,2023-11-10 09:56,wovels tune,On Empty,127980
