"name","genres","popularity","related_artists"
"Josman","['cloud rap francais', 'french hip hop', 'pop urbaine', 'rap conscient']",71,"['Laylow', 'Damso', 'Dinos']"
"Lito Akari","['lo-fi jazzhop']",38,"['Soul Dojo', 'Platinum Dust', 'Bipeula']"
"Sticky Fingers","['australian reggae fusion', 'australian surf rock', 'reggae fusion']",66,"['Ocean Alley', 'Mako Road', 'Bootleg Rascal']"
"Kid Tarô","['lo-fi jazzhop']",41,"['Mendeville', 'Damn Homies', 'flamingo zamperoni']"
"OBOY","['french hip hop', 'pop urbaine', 'rap francais']",69,"['PLK', 'Koba LaD', 'Zola']"
"ROSALÍA","['pop', 'r&b en espanol']",82,"['KAROL G', 'Shakira', 'Becky G']"
"Jack Kays","['cincinnati rap']",56,"['Sueco', 'honestav', 'Games We Play']"
"Laylow","['cloud rap francais', 'french hip hop', 'pop urbaine']",68,"['Josman', 'Dinos', 'Damso']"
"Breakbot","['filter house', 'funktronica', 'nu disco']",56,"['Junior Senior', 'Daft Punk', 'Bag Raiders']"
"Kina","['sad lo-fi', 'slowed and reverb']",66,"['Adriana Proenza', 'Jaymes Young', 'Trevor Daniel']"
"Dominic Fike","['alternative pop rock', 'pov: indie']",79,"['Declan McKenna', 'Bakar', 'Wallows']"
"Népal","['french hip hop']",60,"['Jazzy Bazz', 'Alpha Wann', 'Moji x Sboy']"
"Jungle","['indie soul', 'uk contemporary r&b']",76,"['Channel Tres', 'NEIL FRANCES', 'Parcels']"
"Amy Winehouse","['british soul', 'neo soul']",80,"['Nina Simone', 'Lily Allen', 'Aretha Franklin']"
"Richie Campbell","['hip hop tuga', 'portuguese pop', 'reggae tuga']",57,"['FRANKIEONTHEGUITAR', 'Julinho Ksd', 'Bispo']"
"mgk","['ohio hip hop', 'pop rap']",79,"['Travis Barker', 'Sueco', 'Post Malone']"
"Marwa Loud","['french hip hop', 'pop urbaine', 'r&b francais']",58,"['Vegedream', 'DJ Kayz', 'Aya Nakamura']"
"Alejo","['reggaeton', 'trap latino', 'urbano latino']",64,"['Caleb Calloway', 'The Rudeboyz', 'Came Beats']"
"Angèle","['belgian pop', 'french pop', 'variete francaise']",69,"['Therapie TAXI', 'Clara Luciani', 'Louane']"
"Hammocks & Lime","['lo-fi sleep']",42,"['Ponzi Skeemz', 'herbstreit', 'Vanilla Beach']"
"Aska Mill","['white noise']",52,"['Evomin', 'Aquagirl', 'Sky Travis']"
