name,genres,popularity,related_artists
Bruno Berle,['musica alagoana'],39,"['Sessa', 'Ítallo', 'Gabriel da Rosa']"
China Moses,['french movie tunes'],37,"['Damien Ferrette', 'Assitan Dembele', 'Norma Ray']"
Jean-Jacques Goldman,"['chanson', 'french pop']",62,"['Michael Jones', 'Johnny Hallyday', 'Florent Pagny']"
Young Coconut Drink,"['french indie pop,'french rap']",9,"['EMILE', 'Marty de Lutece', 'Morgan']"
Vladimir Cauchemar,['electronic'],54,"['Asdek', 'Todiefor', 'Lorenzo']"
Myth Syzer,"['french indie pop,'french rap']",47,"['Krisy', 'Zuukou mayzie', 'Jazzy Bazz']"
crème solaire,['swiss indie'],17,"['DITTER', 'Scuffles', 'Tentative']"
Valentino Vivace,['swiss indie'],31,"['Popa', 'Luca Vasta', ""Dov'è Liana""]"
Malik Djoudi,"['french indie pop', 'french indietronica', 'french synthpop', 'nouvelle chanson francaise']",50,"['Flavien Berger', 'Pépite', 'Isaac Delusion']"
Columbine,['french rap'],11,"['baby soup', 'RxOxPxGxOxAxMxNx', 'YDINOHJUS']"
Tao Mon Amour,['french indie pop'],46,"[""Ty's Music"", 'Laurindo Almeida', 'Alejandro Vargas']"
Eliza Rose,['house'],61,"['Interplanetary Criminal', 'LF SYSTEM', 'Tom Santa']"
Folie's,['french rap],54,"['JYEUHAIR', 'Dalí', 'Orrage']"
Disiz,"['french hip hop', 'rap conscient']",58,"['Georgio', 'S-Crew', 'A2h']"
Billie Eilish,"['art pop', 'pop']",96,"['Lana Del Rey', 'Lady Gaga', 'Olivia Rodrigo']"
DaBaby,"['hip hop', 'north carolina hip hop', 'pop rap', 'rap', 'trap']",79,"['Roddy Ricch', 'Internet Money', 'Polo G']"
Player,"['soft rock', 'yacht rock']",59,"['Commodores', 'Bee Gees', '10cc']"
Breakbot,"['filter house', 'funktronica', 'nu disco']",56,"['Junior Senior', 'Daft Punk', 'Bag Raiders']"
Josman,"['cloud rap francais', 'french hip hop', 'pop urbaine', 'rap conscient']",71,"['Laylow', 'Damso', 'Dinos']"
Vulfpeck,"['ann arbor indie', 'funk rock', 'instrumental funk']",60,"['The Fearless Flyers', 'Cory Wong', 'Fat Night']"
M.I.A.,"['escape room', 'indietronica', 'new rave']",68,"['Yeah Yeah Yeahs', 'Nelly Furtado', 'Gwen Stefani']"
Steve Lacy,['afrofuturism'],83,"['Mac DeMarco', 'Tyler, The Creator', 'Hotel Ugly']"
Marwa Loud,"['french hip hop', 'pop urbaine', 'r&b francais']",58,"['Vegedream', 'Aya Nakamura', 'DJ Kayz']"
Bakermat,"['minimal tech house', 'tropical house']",70,"['Kronan', 'Nyaruach', 'Faul & Wad']"
Angèle,"['belgian pop', 'french pop', 'variete francaise']",69,"['Therapie TAXI', 'Clara Luciani', 'Louane']"
Jorge Ben Jor,"['bossa nova', 'manguebeat', 'mpb', 'samba', 'samba-rock', 'tropicalia']",65,"['Novos Baianos', 'Cartola', 'Quarteto Em Cy']"
Le Club,['french rap'],33,"['Haristone', 'Aladin 135', '2zer']"
Sister Nancy,['dancehall queen'],54,"['Dawn Penn', 'iNi Kamoze', 'Barrington Levy']"
Jean Dujardin,['chanson humoristique'],42,"['Lorenzo', 'Lujipeka', 'KIK']"
Lemtom,['rally house'],46,"['JAYC', 'JACK MARLOW', ""Smokey Bubblin' B""]"
ANNA,"['italian hip hop', 'italian pop']",77,"['Tony Effe', 'Niky Savage', 'Geolier']"
