,endTime,artistName,trackName,msPlayed
8819,2023-11-22 12:54,Favé,Mode Avion,820
8820,2023-11-22 12:54,Juliette Armanet,L'Indien,770
8821,2023-11-22 12:54,Laurent Voulzy,Cocktail chez mademoiselle,1020
8822,2023-11-22 12:54,Clara Luciani,Nue,670
8823,2023-11-22 12:54,Juliette Armanet,Sauver Ma Vie,720
8824,2023-11-22 12:58,Juliette Armanet,L'Indien,211573
8825,2023-11-22 13:02,Juliette Armanet,Sauver Ma Vie,263440
8826,2023-11-22 13:04,Favé,VIBES,134440
8827,2023-11-22 13:07,Miel De Montagne,Calvin,183470
8828,2023-11-22 13:07,Flavien Berger,Maddy La Nuit,8609
8829,2023-11-22 13:10,Dusty Springfield,Spooky,164173
8830,2023-11-22 13:12,Favé,Urus,147788
8831,2023-11-22 13:13,Emma Peters,Le temps passe - Rework,1880
8832,2023-11-22 13:13,Juliette Armanet,Flamme,15910
8833,2023-11-22 13:15,Mr GISCARD,Carla,130150
8834,2023-11-22 17:51,Mr GISCARD,Carla,155800
8835,2023-11-22 17:54,Juliette Armanet,L’amour en Solitaire,175226
8836,2023-11-22 17:57,Favé,Mercedes,151560
8837,2023-11-22 18:01,Miel De Montagne,Le Tuto,210106
8838,2023-11-22 18:01,LYNN,Tes petites fesses,3520
8839,2023-11-22 18:01,Yoa,chanson triste,1220
8840,2023-11-22 18:04,Rose,Larmes à paillettes,202346
8841,2023-11-22 18:11,Juliette Armanet,Petite Amie,192626
8842,2023-11-22 18:14,Favé,Mode Avion,153246
8843,2023-11-22 18:14,Iliona,Moins joli,4707
8844,2023-11-22 18:18,Valentino Vivace,Vieni con me,278723
8845,2023-11-22 18:22,Clea Vincent,Jmy attendais pas,245400
8846,2023-11-22 18:25,Juliette Armanet,Le Dernier Jour du Disco,790
8847,2023-11-22 18:25,Emma Peters,Le temps passe,167718
8848,2023-11-22 18:28,Favé,GMAIL,179973
8849,2023-11-22 18:28,Therapie TAXI,Aline,5102
8850,2023-11-23 07:26,Favé,VIBES,134440
8851,2023-11-23 07:29,Favé,GMAIL,179973
8852,2023-11-23 07:32,Juliette Armanet,L'Indien,211573
8853,2023-11-23 07:35,Mr GISCARD,Carla,155800
8854,2023-11-23 07:41,Laurent Voulzy,Cocktail chez mademoiselle,394066
8855,2023-11-23 07:44,Favé,GMAIL,179973
8856,2023-11-23 07:48,Juliette Armanet,Sauver Ma Vie,263440
8857,2023-11-23 07:51,Juliette Armanet,L’amour en Solitaire,175226
8858,2023-11-23 07:54,Clara Luciani,Nue,184077
8859,2023-11-23 07:58,Juliette Armanet,Petite Amie,192626
8860,2023-11-23 08:00,Juliette Armanet,Je ne pense qu'à ça,163840
8861,2023-11-23 08:04,Clara Luciani,Les fleurs,6710
8862,2023-11-23 08:04,Favé,DERNIERE CHANCE,226666
8863,2023-11-23 08:04,ABBA,Under Attack,4353
