artistName,artistPop,artistGenre,artistRelated
Columbine,11,french rap,"baby soup, RxOxPxGxOxAxMxNx, YDINOHJUS"
Dan Kye,42,"indie jazz, indie soul, uk contemporary jazz","Ben Hauke, Cody Currie, Another Chemical Love Story"
1da Banton,59,"afrobeats, nigerian pop","L.A.X, Oxlade, Babyboy AV"
Lauv,77,pop,"""Why Dont We"", Jeremy Zucker, MAX"
Nemir,56,"french hip hop, rap calme","A2h, Disiz, Myth Syzer"
Avicii,82,"dance pop, edm, pop, pop dance","Martin Garrix, The Chainsmokers, Axwell /\\ Ingrosso"
J Balvin,88,"reggaeton, reggaeton colombiano, trap latino, urbano latino","Ozuna, Nicky Jam, Daddy Yankee"
Marcos Caixa,40,lo-fi jazzhop,"Hans Hu$tle, Katashi Kaitō, Bobby Dreamz BIG"
Beyhude,44,"ethnotronica, organic electronic, organic house","MoM, Rapossa, Iorie"
Bill Withers,75,"classic soul, funk, quiet storm, soul","Marvin Gaye, Otis Redding, Al Green"
Mama Aiuto,44,chillhop,"Daphné, Makzo, Plusma"
Jones Meadow,50,chill beats,"Ran the Man, André Aguado, Far Orange"
Claude François,53,"chanson, french pop, ye ye","Michel Delpech, Michel Sardou, Eddy Mitchell"
Ella Henderson,74,"dance pop, pop dance, talent show, uk pop","Becky Hill, Jax Jones, Nathan Dawe"
Mariah Carey,80,"dance pop, pop, urban contemporary","Alicia Keys, ""Destinys Child"", USHER"
Jon Bellion,67,indie pop rap,"Quinn XCII, lovelytheband, AJR"
Saib,54,"chillhop, japanese chillhop, lo-fi beats","Flughand, Jazzinuf, Jaeden Camstra"
Taylor Swift,100,pop,"Olivia Rodrigo, Troye Sivan, Ariana Grande"
Hovar,55,white noise,"Klangspiel, Dozy Sounds, The Clear Mind"
yosev,42,lo-fi jazzhop,"flowless, Kimmø, brass.beats"
Ambient Eclipse,48,"color noise, white noise","Arx, Fortuna, Exodar"
The Rolling Stones,80,"album rock, british invasion, classic rock, rock","The Who, Led Zeppelin, Creedence Clearwater Revival"
Jazzy James,45,lo-fi jazzhop,"brass.beats, Myríad, RejSende"
Timbaland,79,"dance pop, pop, pop rap","Nelly Furtado, Rihanna, Black Eyed Peas"
Burna Boy,81,"afrobeats, dancehall, nigerian hip hop, nigerian pop","Omah Lay, Wizkid, Rema"
Smino,68,alternative r&b,"Saba, Isaiah Rashad, Phoelix"
Hoogway,62,"lo-fi beats, lo-fi study","Kainbeats, Bcalm, Dontcry"
Lost Frequencies,81,"belgian edm, edm, pop dance, tropical house","Felix Jaehn, Robin Schulz, Ofenbach"
Oslo,38,lo-fi jazzhop,"Mathis, Wezley Wiz, Otis Neon"
Beamer,85,"cloud rap, emo rap, lgbtq+ hip hop","Lil Tracy, Nedarb, Horse Head"
Justin Bieber,91,"canadian pop, pop","Shawn Mendes, Bruno Mars, Sam Smith"
Gale Moore,40,background piano,"Chloe Doyle, Phileas Galle, Algot Brooke"
MF Eistee,39,"jazz boom bap, lo-fi jazzhop","Kid Tarô, SP-Mato, mädmäx"
Lito Akari,38,lo-fi jazzhop,"Soul Dojo, Platinum Dust, Bipeula"
Sticky Fingers,66,"australian reggae fusion, australian surf rock, reggae fusion","Ocean Alley, Mako Road, Bootleg Rascal"
