artistName,artistPop,artistGenre,artistRelated
Jhove,54,"lo-fi beats, lo-fi study","Spencer Hunt, brillion., Ambulo"
p-rallel,47,uk alternative hip hop,"IZCO, KiLLOWEN, Fredwave"
Show Dem Camp,50,"afrobeats, alte, nigerian hip hop, nigerian pop","Cruel Santino, Ajebutter22, Boj"
Jack Ü,60,"edm, electro house, pop dance","Bipolar Sunshine, Major Lazer, AlunaGeorge"
OneRepublic,85,"piano rock, pop","Imagine Dragons, Bastille, Maroon 5"
Bruno Mars,95,"dance pop, pop","Maroon 5, Lady Gaga, Justin Bieber"
Ozeanus,50,"color noise, white noise","Ozonezzz, Hypnotronica, Dancing Waves"
Erik Eriksson,57,background music,"Zenibly, Milli Hughes, BCCF"
Jim Efforts,53,white noise,"Ambi Val, Skiez, StyccO"
The Clear Mind,59,white noise,"Klangspiel, Dozy Sounds, Valdervande"
Dream Fuzz,53,white noise,"Hypnotronica, Crystal Slowdown, Likko Sol"
Xiskko,52,white noise,"Arx, Likko Sol, Lavender Balm"
Niklas Aman,32,focus,"Random Forest, Glowworm, Rhian Sheehan"
Asana Ventus,45,white noise,"Dancing Waves, Indika, Reality Sound"
Platinum Dust,39,lo-fi jazzhop,"Josa, Nick Mosh, Loufish"
Kazy Lambist,58,"french indie pop, french indietronica, new french touch","Kid Francescoli, Glasses, Camel Power Club"
EDEN,61,indie poptimism,"Eden Project, Lund, Jon Bellion"
Terry,36,british folk,"Spirit, Barefoot Jerry, Quicksilver Messenger Service"
Lab Progression,30,lo-fi jazzhop,"Jammin Berries, SP-Mato, Flo Badabum"
Marc E. Bassy,58,indie pop rap,"Bryce Vine, mansionz, THEY."
DJ Snake,79,"dance pop, edm, electronic trap, pop, pop dance","Major Lazer, Calvin Harris, The Chainsmokers"
RY X,66,"indie anthem-folk, indie folk","SYML, Kyson, James Vincent McMorrow"
Joey Pecoraro,49,chillhop,"Fujitsu, santpoort, Gyvus"
ONO1,38,lo-fi jazzhop,"Hans Hu$tle, flamingo zamperoni, Marcos Caixa"
Sto Nii,29,focus beats,"SeanBeats, Half Empty, Mount Dreamer"
nelick,41,"french hip hop, rap calme","Primero, Tuerie, Damlif"
berlioz,68,jazz house,"Ted Jasper, dublon, Gianni´s Humble"
Camden Clown,38,study beats,"Vanilla Beach, Beamer, Pi Teddy"
fnonose,53,"lo-fi sleep, lo-fi study","Swink, Krynoze, Sleepermane"
Alex R,72,"reggaeton, trap latino, urbano latino","Brytiago, Lunay, Dalex"
Lonepsi,46,"french pop, rap calme","Kemmler, Achile, IZAID"
Tatami Construct,47,lo-fi study,"Neele Harder, Akīn, Plant Guy"
mutedvibes,48,lo-fi cover,"""Nicks chill factory"", ""loukes beats"", knock on wood"
Tate McRae,85,pop,"Madison Beer, Benson Boone, RAYE"
gnash,63,"alt z, pop","Alessia Cara, Alex & Sierra, Julia Michaels"
ELOI,37,hyperpop,"CHORIBABY, Ojos, TOMASI"
sftspkn,44,lo-fi study,"Ayzic, Yestalgia, sinnr"
CKay,69,"afro r&b, afrobeats","1da Banton, Rema, Oxlade"
uniqlesse,39,study beats,"Maggotts&Becketts, fly_by_wire, Zoulzest"
farewell,16,neon pop punk,"Sing It Loud, Houston Calls, Powerspace"
Praizee,34,lo-fi beats,"GUD NGHT, Miso Colt, Sakloma24"
fluffy,42,"comedy, latino comedy","John Pinette, Brian Regan, Jeff Dunham"
Sneazzy,50,"french hip hop, pop urbaine, rap francais","Lefa, Guizmo, Kekra"
H I K E,43,lo-fi sleep,"Yoga at the Disco, Breakfast For Brunch, W8lss"
Jazzy Bazz,53,french hip hop,"Alpha Wann, S-Crew, Zuukou mayzie"
Bryan Adams,77,"canadian pop, canadian singer-songwriter, classic canadian rock, heartland rock, mellow gold, soft rock","Roxette, Phil Collins, Foreigner"
Lo & Leduc,46,"mundart, swiss reggae","Hecht, Bligg, Dodo"
Rod Stewart,74,"mellow gold, soft rock","Joe Cocker, Chicago, Paul Young"
Chayce Beckham,62,modern country pop,"Bailey Zimmerman, Bryan Martin, ERNEST"
Casseurs Flowters,53,"french hip hop, rap conscient","Orelsan, Bigflo & Oli, Lujipeka"
Lizzo,70,"escape room, minnesota hip hop, pop, trap queen","Dua Lipa, Miley Cyrus, Mark Ronson"
Tiësto,84,"big room, brostep, dutch edm, edm, house, pop dance, progressive electro house, slap house, trance","David Guetta, MEDUZA, Alok"
Booba,73,"french hip hop, old school rap francais, pop urbaine, rap conscient","Kaaris, SCH, Koba LaD"
Shaboozey,80,"modern country pop, pop rap","Dasha, Myles Smith, Michael Marcagi"
Naps,71,"french hip hop, pop urbaine, rap marseille","Alonzo, Soso Maness, Jul"
Mondo Loops,60,"lo-fi beats, lo-fi sleep, lo-fi study","softy, Tibeauthetraveler, Sleepermane"
Electric Youth,50,"popwave, synthwave","College, Desire, M83"
HM Surf,56,"lo-fi beats, lo-fi study","Mondo Loops, Ambulo, TABAL"
Living Room,56,"lo-fi jazzhop, lo-fi study","Worldtraveller, Phlocalyst, Akīn"
Kainbeats,60,"anime lo-fi, lo-fi study","Hoogway, Bcalm, Casiio"
H.1,48,"lo-fi beats, lo-fi study","Allem Iversom, Loafy Building, Project AER"
Bobby Womack,58,"classic soul, funk, quiet storm, soul, southern soul","Al Green, Curtis Mayfield, Ann Peebles"
Yasumu,53,lo-fi study,"eugenio izzi, Kanisan, Ambulo"
TOTO,77,"album rock, classic rock, hard rock, mellow gold, rock, soft rock, yacht rock","The Police, Foreigner, Journey"
Daft Punk,82,"electro, filter house, rock","Gorillaz, MGMT, Julian Casablancas"
Mr.Kitty,66,weirdcore,"Mareux, Pastel Ghost, Sidewalks and Skeletons"
Pashanim,75,"german alternative rap, german drill, german hip hop","Ufo361, Miksu / Macloud, reezy"
Headie One,67,uk hip hop,"GRM Daily, Fredo, Digga D"
Casiio,59,"lo-fi beats, lo-fi sleep, lo-fi study","Lenny Loops, Dontcry, Kainbeats"
Tibeauthetraveler,58,lo-fi study,"Goson, Lucid Keys, Mondo Loops"
Rufus,77,"australian electropop, indietronica","Elderbrook, Emmit Fenn, CamelPhat"
Lacrim,72,"arabic hip hop, french hip hop, pop urbaine","Maes, Jul, UZI"
dryhope,47,"lo-fi beats, lo-fi study","less.people, Epektase, ""Chiccotes Beats"""
Ahmed Spins,55,melodic house,"Stevo Atambire, James Mac, Vall"
Don McLean,65,"classic rock, folk, folk rock, mellow gold, singer-songwriter, soft rock","Billy Joel, Simon & Garfunkel, John Denver"
Key Glock,77,"memphis hip hop, rap, southern hip hop, tennessee hip hop, trap","42 Dugg, Kodak Black, Young Dolph"
TABAL,50,"lo-fi beats, lo-fi study","Team Astro, kudo, Ambulo"
John Prine,59,"folk, new americana, roots rock, singer-songwriter","Guy Clark, Townes Van Zandt, Justin Townes Earle"
Guts,89,pop,"Taylor Swift, Conan Gray, Billie Eilish"
Your Magnolia,40,lo-fi study,"Kinissue, pines & pines, Aelkay"
Arctic Monkeys,88,"garage rock, modern rock, permanent wave, rock, sheffield indie","The Neighbourhood, Cage The Elephant, Tame Impala"
Lady Gaga,92,"art pop, dance pop, pop","Katy Perry, Bruno Mars, Billie Eilish"
Vald,33,indie triste,"Estéreo Waves, Diana Meril, Montecarlo"
Kurt Vile,54,"art pop, chamber pop, indie rock, modern folk rock, neo-psychedelic, noise pop, philly indie, singer-songwriter","Kevin Morby, Courtney Barnett, Wilco"
The Seige,54,cali rap,"Campfire, Artizan, 7kingZ"
Lenny Kravitz,73,"permanent wave, rock","The Police, U2, INXS"
A Touch Of Class,63,europop,"""Gigi DAgostino"", Eiffel 65, Cascada"
Kavinsky,67,filter house,"Justice, Julian Casablancas, Daft Punk"
Kalash Criminel,59,"french hip hop, pop urbaine, rap francais","Kaaris, SCH, 1PLIKÉ140"
Swink,53,lo-fi study,"Loafy Building, Krynoze, fnonose"
ticofaces,45,lo-fi study,"Kinissue, møndberg, Loafy Building"
Céline Dion,77,canadian pop,"Whitney Houston, Richard Marx, LeAnn Rimes"
Zachary Richard,32,"country quebecois, zydeco","Richard Desjardins, Richard Séguin, Paul Piché"
softy,64,"lo-fi beats, lo-fi study","Mondo Loops, Dontcry, Hoogway"
Gym Class Heroes,71,"dance pop, pop rap","Maroon 5, Macklemore & Ryan Lewis, Macklemore"
Jenifer,77,"dance pop, pop, urban contemporary","Christina Aguilera, The Pussycat Dolls, Pitbull"
Dasha,75,country,"Myles Smith, Shaboozey, Mark Ambor"
azayaka,51,"christian lo-fi, lo-fi study","Lawrence Walther, marsquake, Tonion"
Corneille,55,french pop,"Zaho, Eva, Imen Es"
crème solaire,17,swiss indie,"DITTER, Scuffles, Tentative"
Chiccote's Beats,44,"lo-fi brasileiro, lo-fi study","brillion., Fatb, kudo"
50 Cent,85,"east coast hip hop, gangster rap, hip hop, pop rap, queens hip hop, rap","2Pac, Snoop Dogg, The Game"
Ketama126,56,"drill italiana, emo rap italiano, italian hip hop, trap italiana","Vaz Tè, Vegas Jones, Disme"
Harold Faltermeyer,56,"german soundtrack, synthesizer, synthpop","Steve Stevens, Klaus Badelt, Bill Conti"
AC/DC,84,"australian rock, hard rock, rock","""Guns N Roses"", KISS, Aerosmith"
Big Mountain,60,"reggae, reggae fusion","UB40, Inner Circle, Shaggy"
Sátyr,55,"lo-fi beats, lo-fi jazzhop, lo-fi study","Hoffy Beats, Enluv, Sleepermane"
Creedence Clearwater Revival,82,"album rock, classic rock, country rock, mellow gold, rock, southern rock, swamp rock","Lynyrd Skynyrd, The Rolling Stones, The Hollies"
Diddy,75,"dance pop, east coast hip hop, hip hop, hip pop, pop rap, rap","Fat Joe, Nelly, Busta Rhymes"
Nicki Minaj,87,"hip pop, pop, queens hip hop, rap","Rihanna, Cardi B, Beyoncé"
Kofs,61,"french hip hop, pop urbaine, r&b francais, rap francais, rap marseille","TK, Kamikaz, YL"
Don Omar,84,"latin hip hop, puerto rican pop, reggaeton, trap latino, urbano latino","Daddy Yankee, Zion & Lennox, Farruko"
Sebastian Kamae,50,"lo-fi beats, lo-fi study","DLJ, Oatmello, Tom Doolie"
Lomme,49,"lo-fi sleep, lo-fi study","Elk Beats, fourwalls, So.Lo"
Dimension 32,55,"lo-fi sleep, lo-fi study","Nadav Cohen, Krynoze, Goson"
squeeda,50,lo-fi study,"Sling Dilly, Casiio, Devon Rea"
Alphaville,74,"new romantic, new wave pop, synthpop","a-ha, Bonnie Tyler, Modern Talking"
Kim Carnes,64,"new romantic, new wave pop, soft rock","Cyndi Lauper, Fine Young Cannibals, Eric Carmen"
Hayden Coffman,54,modern country pop,"Drew Green, Sean Stemaly, Austin Snell"
Imagine Dragons,89,"modern rock, pop, rock","OneRepublic, Bastille, Sia"
GAMPER & DADONI,67,"german dance, pop dance, tropical house","Felix Jaehn, YouNotUs, Sam Feldt"
Jeremih,75,"chicago rap, pop rap, r&b, southern hip hop, trap, urban contemporary","Chris Brown, Lloyd, Trey Songz"
Kaaris,66,"drill francais, french hip hop, pop urbaine, rap francais, trap antillais","Booba, SCH, Kalash Criminel"
Ram Jam,59,southern rock,"Steppenwolf, Norman Greenbaum, AC/DC"
BARON.E,26,swiss pop,"George Ka, Oete, Edgär"
Linkin Park,92,"alternative metal, nu metal, post-grunge, rap metal, rock","Papa Roach, Three Days Grace, Disturbed"
Leona Lewis,66,"british soul, dance pop, pop, talent show","Kelly Clarkson, Emeli Sandé, P!nk"
Krynoze,54,"lo-fi sleep, lo-fi study","slowburn, Goson, Project AER"
Eiffel 65,63,"eurodance, europop, italian adult pop, italo dance","Scatman John, O-Zone, A Touch Of Class"
Yestalgia,48,lo-fi study,"So.Lo, Loafy Building, Swink"
New Order,67,"alternative rock, dance rock, madchester, new romantic, new wave, permanent wave, post-punk, synthpop, uk post-punk","The Psychedelic Furs, Depeche Mode, Echo & the Bunnymen"
kudo,43,dark r&b,"Kid Travis, lilspirit, Gervs"
takeo,68,"atl hip hop, rap, trap","DDG, Offset, Lil Baby"
Solar Body,50,lo-fi study,"Dosi, Spaniel Mac, Juliàn"
Ofenbach,74,pop dance,"Norma Jean Martine, Felix Jaehn, twocolors"
HoKø,61,lo-fi study,"Juliàn, Dosi, Lucid Keys"
"Earth, Wind & Fire",76,"disco, funk, jazz funk, motown, soul","The Emotions, Kool & The Gang, Tammi Terrell"
Sam Hunt,70,"contemporary country, country, country pop, modern country rock","Florida Georgia Line, Lee Brice, Old Dominion"
amies,59,lo-fi study,"cxlt., Bcalm, Laffey"
Orville Peck,61,"alternative country, queer country","Sierra Ferrell, Allison Russell, Willow Avalon"
Busta Rhymes,73,"east coast hip hop, hardcore hip hop, hip hop, pop rap, rap","Fat Joe, Eve, Snoop Dogg"
Gary Clark Jr.,57,"electric blues, modern blues rock, rock, soul blues, texas blues","The Record Company, The Marcus King Band, Nathaniel Rateliff & The Night Sweats"
alt-J,71,"indie rock, indietronica, modern alternative rock, modern rock, rock, shimmer pop","Cage The Elephant, MGMT, The xx"
Tenno,54,japanese chillhop,"Raimu, DaniSogen, ""lOutlander"""
Chris Stapleton,83,"contemporary country, outlaw country","Luke Combs, Tyler Childers, Zach Bryan"
Logic,75,"conscious hip hop, hip hop, pop rap, rap","Jay Rock, ScHoolboy Q, Joyner Lucas"
T.I.,76,"atl hip hop, dirty south rap, gangster rap, hip hop, pop rap, rap, southern hip hop, trap","Ludacris, Young Money, Lil Jon & The East Side Boyz"
KALEO,71,"icelandic indie, icelandic rock, modern alternative rock","X Ambassadors, ""RagnBone Man"", Vance Joy"
Juliàn,55,"lo-fi sleep, lo-fi study","luv pug, Late Night Tones, Spaniel Mac"
Dire Straits,78,"album rock, classic rock, mellow gold, rock","Supertramp, Bruce Springsteen, The Rolling Stones"
Greta Van Fleet,67,"modern blues rock, modern hard rock, rock","The Black Keys, Led Zeppelin, Pearl Jam"
Connor Price,75,singer-songwriter pop,"Nic D, Killa, callmestevieray"
Rage Against The Machine,72,"alternative metal, alternative rock, conscious hip hop, funk metal, hard rock, nu metal, political hip hop, post-grunge, rap metal, rap rock, rock","Soundgarden, Limp Bizkit, Queens of the Stone Age"
Zach Bryan,91,classic oklahoma country,"The War And Treaty, Dylan Gossett, Sam Barber"
Blue Öyster Cult,65,"album rock, classic rock, glam metal, hard rock, progressive rock, rock","Led Zeppelin, Cream, Black Sabbath"
*NSYNC,77,"boy band, dance pop, pop","Lady Gaga, Katy Perry, Backstreet Boys"
Rone,67,"brill building pop, classic girl group, motown, rock-and-roll","Nancy Sinatra, Frankie Valli, Lesley Gore"
DJ Abdel,42,rap marseille,"Rohff, Nessbeal, 113"
xander.,55,lo-fi study,"Hoffy Beats, Enluv, Sátyr"
Felix Jaehn,75,"edm, german dance, pop dance, tropical house, uk dance","Jax Jones, Robin Schulz, Ofenbach"
The Beach Boys,73,"baroque pop, classic rock, folk rock, mellow gold, psychedelic rock, rock, singer-songwriter, sunshine pop","The Monkees, Frankie Valli & The Four Seasons, Electric Light Orchestra"
Vianney,63,"chanson, french pop","Claudio Capéo, Louane, Christophe Maé"
Bastian Baker,38,"swiss indie, swiss pop","Pegasus, Noah Veraguth, 77 Bombay Street"
Elvis Presley,80,"rock-and-roll, rockabilly","Roy Orbison, Chuck Berry, Tom Jones"
Glass Candy,35,neo-synthpop,"The Golden Filter, Farah, Junior Boys"
So.Lo,48,"lo-fi sleep, lo-fi study","Yestalgia, Cosmic Koala, Lomme"
Poolside,60,"indie soul, indietronica, nu disco","Amo Amo, LEISURE, NEIL FRANCES"
George Michael,74,"new wave pop, soft rock","Bee Gees, Elton John, Spandau Ballet"
less.people,47,"chillhop, lo-fi beats","Epektase, DLJ, dryhope"
Dinis,47,lo-fi study,"So.Lo, azayaka, Lomme"
Soolking,71,"french hip hop, pop urbaine, r&b francais, rap algerien","""Heuss Lenfoiré"", GIMS, DYSTINCT"
Véronique Sanson,56,chanson,"Michel Berger, Alain Souchon, Daniel Balavoine"
No Spirit,58,"lo-fi beats, lo-fi study","Dosi, Mondo Loops, Tibeauthetraveler"
Julien Doré,61,"chanson, french pop","Grand Corps Malade, Clara Luciani, Gaëtan Roussel"
Monma,46,"chillhop, lo-fi beats","cocabona, dryhope, G Mills"
Kid Francescoli,62,"french indie pop, french indietronica","French 79, Kazy Lambist, The Blaze"
Adieu Aru,44,chillsynth,"Rogue VHS, elati0n, YOUTH 83"
Epektase,48,"lo-fi beats, lo-fi study","less.people, dryhope, DLJ"
Ajmw,49,"chillhop, lo-fi beats",".Sinh, n o r m a l, Tom Doolie"
cxlt.,62,lo-fi study,"amies, Bcalm, Hoogway"
Lorenzo,55,"banda, grupera, musica mexicana, norteno","Ezequiel Peña, Los Tiranos Del Norte, Los Traileros Del Norte"
Dylan Gossett,69,modern country pop,"Sam Barber, The War And Treaty, Zach Bryan"
Juice WRLD,88,"chicago rap, melodic rap, rap","Trippie Redd, XXXTENTACION, Lil Uzi Vert"
Koba LaD,69,"french hip hop, pop urbaine, rap francais","Zola, DA Uzi, Leto"
Quevedo,82,"rap canario, trap latino, urbano latino","Mora, Bizarrap, Feid"
Elton John,84,"glam rock, mellow gold, piano rock, rock","Billy Joel, Bee Gees, Kiki Dee"
Kanisan,56,lo-fi study,"Yasumu, Mondo Loops, eugenio izzi"
WYS,55,lo-fi beats,"Kupla, Jhove, Purrple Cat"
Nadav Cohen,53,lo-fi study,"Dimension 32, Krynoze, Goson"
iamalex,52,chillhop,"Felty, Enluv, xander."
Morgan Wallen,91,contemporary country,"Luke Combs, ERNEST, Bailey Zimmerman"
LESKY,47,"lo-fi jazzhop, lo-fi study","ØNEMOR3, Deauxnuts, Myríad"
Noisestorm,51,"dancefloor dnb, gaming edm, speedrun","Halogen, Dirty Rush & Gregor Es, Slaydit"
Médine,52,"french hip hop, rap conscient","Sinik, Guizmo, Seth Gueko"
SCH,72,"french hip hop, pop urbaine, rap marseille","Kaaris, Booba, PLK"
Lucid Keys,56,lo-fi study,"Goson, Tibeauthetraveler, Krynoze"
Justin Timberlake,83,"dance pop, pop","Rihanna, USHER, Ne-Yo"
Nicola Cruz,51,"ecuadorian indie, latintronica, organic electronic","Chancha Via Circuito, El Búho, Populous"
Laffey,58,"lo-fi beats, lo-fi study","amies, Hevi, Mondo Loops"
Justice,68,"alternative dance, dance-punk, electronica, filter house, indietronica, new rave","Jamie xx, Chromeo, Kavinsky"
Tones And I,70,australian pop,"Ava Max, Jawsh 685, Dua Lipa"
Kardinal Offishall,64,canadian old school hip hop,"Akon, Soulja Boy, Sean Kingston"
Frida Johansson,39,video game music,"Austin Wintory, Max LL, Aakaash Rao"
Kenny Loggins,68,"album rock, classic rock, mellow gold, new wave pop, singer-songwriter, soft rock, yacht rock","Journey, Starship, Survivor"
kyu,52,"alternative metal, grunge, palm desert scene, sludge metal, stoner metal, stoner rock","Fu Manchu, Melvins, Melvins"
Red Hot Chili Peppers,84,"alternative rock, funk metal, funk rock, permanent wave, rock","Foo Fighters, Nirvana, Green Day"
The Police,78,"album rock, classic rock, permanent wave, rock","TOTO, R.E.M., Queen"
Citizen,63,gymcore,"Letdown., No Resolve, Lø Spirit"
Tyler Braden,67,modern country pop,"Warren Zeiders, Nate Smith, Dylan Scott"
Marcelo D2,62,"boom bap brasileiro, brazilian hip hop, brazilian rock, rap nacional antigo","Criolo, Emicida, Gabriel O Pensador"
Late Night Tones,54,"lo-fi sleep, lo-fi study","Pierson Booth, slowburn, Krynoze"
French 79,61,"french indie pop, french indietronica","Kid Francescoli, The Blaze, Kazy Lambist"
Khaled,77,"hip hop, miami hip hop, pop rap, rap","Tyga, Migos, Chris Brown"
Trey Lewis,54,modern country pop,"HIXTAPE, Jameson Rodgers, Elvie Shane"
Elior,46,lo-fi beats,"Aylior, CaliCronk, eaup"
Bcalm,58,"focus beats, lo-fi study","steezy prime, Hoogway, cxlt."
Towerz,51,lo-fi study,"kudo, ""no ones perfect"", Ambulo"
Central Cee,82,"melodic drill, r&drill","Dave, Gunna, Metro Boomin"
Oxia,48,"french tech house, minimal techno","Maceo Plex, Ginger, Boris Brejcha"
Electric Light Orchestra,73,"album rock, art rock, beatlesque, classic rock, glam rock, mellow gold, rock, soft rock, symphonic rock","George Harrison, The Beach Boys, Billy Joel"
Imany,59,french indie pop,"Burak Yeter, Feder, Gala"
Madcon,65,norwegian hip hop,"Macklemore & Ryan Lewis, Macklemore, John Newman"
The Coasters,50,"doo-wop, rhythm and blues, rock-and-roll, rockabilly","Little Richard, Sam The Sham & The Pharaohs, Larry Williams"
TyLuv.,44,lo-fi study,"M e a d o w, Miramare, Slo Loris"
Fleetwood Mac,83,"album rock, classic rock, rock, soft rock, yacht rock","Daryl Hall & John Oates, Billy Joel, Stevie Nicks"
Snoop Dogg,84,"g funk, gangster rap, hip hop, pop rap, rap, west coast rap","Dr. Dre, 2Pac, The Notorious B.I.G."
Niska,76,"french hip hop, pop urbaine, r&b francais","Ninho, Werenoi, Koba LaD"
Dosi,50,korean city pop,"youra, SE SO NEON, APRO"
CRO,71,german hip hop,"Gustav, Sido, 01099"
Adele,87,"british soul, pop, pop soul, uk pop","Sam Smith, John Legend, Miley Cyrus"
Silk City,53,"edm, uk dance","Loud Luxury, Captain Cuts, Starley"
brillion.,50,"lo-fi beats, lo-fi study","Spencer Hunt, Jhove, Ambulo"
Sleepermane,56,"lo-fi beats, lo-fi study","Dontcry, Swink, fnonose"
JAY-Z,85,"east coast hip hop, gangster rap, hip hop, pop rap, rap","Snoop Dogg, 50 Cent, Dr. Dre"
Sting,73,"permanent wave, soft rock, sophisti-pop","Seal, Phil Collins, George Michael"
Yuzmv,54,"cloud rap francais, rap calme","IZAID, Klem Schen, Tsew The Kid"
admo,46,chillsynth,"Voyage, Forhill, A.L.I.S.O.N"
Richard Wagner,55,"classical, german opera, german romanticism, late romantic era","Sir Georg Solti, Richard Strauss, Riccardo Muti"
RAYE,79,"uk contemporary r&b, uk pop","070 Shake, Tate McRae, Elley Duhé"
Kid Cudi,80,"hip hop, ohio hip hop, pop rap, rap","Kanye West, Mac Miller, ScHoolboy Q"
Sabrina Carpenter,95,pop,"Chappell Roan, Addison Rae, Gracie Abrams"
Hevi,51,lo-fi study,"møndberg, Loafy Building, Towerz"
Prithvi,49,"indian lo-fi, lo-fi study","Goson, Krynoze, Juliàn"
Tears For Fears,75,"new romantic, new wave, new wave pop, permanent wave, rock, sophisti-pop, synthpop","a-ha, Duran Duran, Billy Idol"
Love,49,pop,"Olivia Rodrigo, Troye Sivan, Ariana Grande"
Bryan Martin,71,modern country pop,"Warren Zeiders, HARDY, Josh Meloy"
Mujo,58,"japanese chillhop, lo-fi beats","Nokiaa, ""Jamaddict"", .Eehou"
Elijah Lee,51,"lo-fi beats, lo-fi study","eugenio izzi, trxxshed, S N U G"
Blue Fox,56,"lo-fi jazzhop, lo-fi study","Nothingtosay, Klemsis, lofi llama"
Iggy Azalea,70,"australian hip hop, dance pop, pop","Fergie, Nicki Minaj, The Pussycat Dolls"
ZHU,64,"edm, electro house","Hayden James, Kaskade, Duke Dumont"
Alex Cameron,41,australian alternative rock,"Destroyer, U.S. Girls, Jens Lekman"
Bad Meets Evil,61,detroit hip hop,"Fort Minor, Ca$his, Chamillionaire"
Mila Coolness,39,"lo-fi sleep, lo-fi study","Comodo, Miramare, Sitting Duck"
Poor Man's Poison,66,deathgrass,"The Stupendium, Rare Americans, Black Gryph0n"
Public Enemy,57,"conscious hip hop, east coast hip hop, golden age hip hop, hardcore hip hop, hip hop, old school hip hop, political hip hop","""Ol Dirty Bastard"", Eric B. & Rakim, KRS-One"
juniorodeo,48,lo-fi study,"kokoro, S N U G, Spencer Hunt"
Calvin Harris,87,"dance pop, edm, electro house, house, pop, progressive house, uk dance","Major Lazer, David Guetta, Ellie Goulding"
Kita Klane,22,vapor pop,"Danielle Parente, KANEHOLLER, ANIIML"
Flovry,44,lo-fi beats,"tender spring, drkmnd, chief."
Chris Mazuera,46,lo-fi beats,"less.people, cocabona, goosetaf"
Irene Cara,65,"disco, new romantic, new wave pop, soft rock","Culture Club, Bonnie Tyler, Bill Medley"
Ziak,63,"drill francais, french hip hop, pop urbaine","Freeze corleone, Beendo Z, menace Santana"
Lawrence Walther,52,lo-fi study,"azayaka, Swink, Goson"
Tyler Childers,79,"kentucky indie, kentucky roots, outlaw country","Josh Meloy, Colter Wall, Whiskey Myers"
Liam Gallagher,58,"britpop, britpop revival, solo wave","""Noel Gallaghers High Flying Birds"", Stereophonics, Richard Ashcroft"
Boston,67,"album rock, classic rock, glam metal, hard rock, mellow gold, rock, soft rock","Cheap Trick, Van Halen, Asia"
Dr. Dre,82,"g funk, gangster rap, hip hop, rap, west coast rap","Snoop Dogg, 2Pac, The Notorious B.I.G."
Stromae,72,"belgian pop, g-house","Madcon, Indila, Ray Dalton"
Gala,49,pop,"Brenda Bezares, Emilio, MIA"
Bomfunk MC's,59,eurodance,"Sash!, Darude, ""Gigi DAgostino"""
Pharrell Williams,81,"dance pop, pop","Nile Rodgers, Justin Timberlake, Mark Ronson"
Grant Lee Buffalo,45,alternative country,"Mercury Rev, Mark Lanegan, Kristin Hersh"
Blue Wednesday,57,chillhop,"goosetaf, juniorodeo, Spencer Hunt"
Young Thug,85,"atl hip hop, atl trap, gangster rap, hip hop, melodic rap, rap, trap","Future, Gunna, Kodak Black"
Coolio,71,"g funk, gangster rap, hip hop, west coast rap","Dr. Dre, Eminem, 50 Cent"
Kayba,41,lo-fi study,"ticofaces, sinnr, Kinissue"
Will Smith,69,"hip hop, pop rap","Black Eyed Peas, CeeLo Green, Justin Timberlake"
Supertramp,71,"album rock, art rock, classic rock, glam rock, mellow gold, piano rock, progressive rock, rock, soft rock, symphonic rock","Dire Straits, The Rolling Stones, The Police"
ABBA,82,"europop, swedish pop","Bonnie Tyler, Wham!, Olivia Newton-John"
KC & The Sunshine Band,65,"disco, mellow gold, new wave pop, soft rock, soul","Kool & The Gang, Hot Chocolate, CHIC"
Matt Sassari,68,"french tech house, french techno, tech house","James Hype, Miggy Dela Rosa, Steve Edwards"
Fergie,71,"dance pop, pop","The Pussycat Dolls, Gwen Stefani, Nelly Furtado"
Lil Uzi Vert,86,"hip hop, melodic rap, philly rap, rage rap, rap, trap","Trippie Redd, Young Thug, 21 Savage"
G-Eazy,78,"indie pop rap, oakland hip hop, pop rap, rap","French Montana, Wiz Khalifa, Rae Sremmurd"
Michel Polnareff,49,"chanson, ye ye","Eddy Mitchell, Jean Ferrat, Alain Souchon"
DJ Blyatman,52,"hard bass, russian rave","XS Project, Hard Bass School, Russian Village Boys"
Skepta,74,"birmingham grime, grime, instrumental grime, uk hip hop","Giggs, AJ Tracey, Headie One"
Frankie Valli,66,"adult standards, bubblegum pop, lounge","Paul Anka, The Ronettes, Nancy Sinatra"
Jeff Buckley,69,"melancholia, permanent wave, singer-songwriter","Mazzy Star, Radiohead, Elliott Smith"
Lloyd Banks,64,"detroit hip hop, gangster rap, hardcore hip hop, hip hop, pop rap, queens hip hop, rap, trap","Tony Yayo, G-Unit, Obie Trice"
The Game,72,"detroit hip hop, gangster rap, hip hop, pop rap, rap, southern hip hop, trap","2Pac, 50 Cent, G-Unit"
Chief Keef,78,"chicago bop, chicago drill, chicago rap, drill, hip hop, rap, trap","Tay-K, Young Nudy, Lil Yachty"
Celestial Alignment,44,"anime lo-fi, japanese chillhop, lo-fi vgm","lofi otaku, We Dream In Anime, Mellow Yoyo"
Charlee Nguyen,44,"lo-fi sleep, lo-fi study","Drunk Urameshi, after noon, Corey J. Beats"
Asia,55,"album rock, classic rock, glam metal, hard rock, mellow gold, progressive rock, soft rock","Boston, Cheap Trick, Loverboy"
iNi Kamoze,60,"reggae, reggae fusion, roots reggae","Damian Marley, Bob Marley & The Wailers, The Wailers"
Gregory Porter,59,"contemporary vocal jazz, jazz pop, vocal jazz","José James, Jamie Cullum, Melody Gardot"
