listener,trackID,msPlayed
Ambre,T311,221763
Ambre,T312,287935
Ambre,T313,241996
Ambre,T314,258424
Elwin,T315,361386
Elwin,T316,290283
Elwin,T304,349395
Elwin,T305,211103
Elwin,T306,377003
Elwin,T317,682456
Elwin,T318,816769
Elwin,T319,709239
Elwin,T320,272068
Elwin,T321,212916
Elwin,T322,2594590
Elwin,T307,3754740
Elwin,T323,210789
Elwin,T324,247533
Elwin,T325,2374969
Elwin,T326,661140
Elwin,T308,185092
Elwin,T327,1026061
Elwin,T328,222316
Elwin,T329,327084
Elwin,T330,404133
Elwin,T331,723400
Elwin,T332,249673
Elwin,T5920,249673
Elwin,T310,471600
Elwin,T333,521412
Elwin,T311,219209
Elwin,T334,219860
Elwin,T335,256124
Elwin,T336,469180
Elwin,T337,262974
Elwin,T312,231000
Elwin,T338,301398
Elwin,T339,236149
Elwin,T340,386862
Elwin,T313,425200
Elwin,T314,586293
Elwin,T341,257634
Elwin,T342,222072
Fanny,T343,555322
Fanny,T318,250217
Fanny,T309,252626
Olivier,T344,5489695
Olivier,T345,287267
Olivier,T346,6096222
Olivier,T347,3297689
Olivier,T348,193294
Olivier,T349,4688445
Olivier,T350,9975050
Olivier,T351,14843674
Olivier,T352,2874726
Olivier,T353,470932
Ambre,T354,494808
Ambre,T355,210762
Ambre,T356,365248
Ambre,T357,272000
Ambre,T358,307440
Ambre,T359,213977
Ambre,T360,226333
Ambre,T361,221533
Elwin,T362,3547043
Elwin,T359,986822
Elwin,T363,466660
Ambre,T364,258740
Ambre,T365,353564
Ambre,T366,223565
Arnaud,T367,5111109
Arnaud,T368,358240
Elwin,T368,443842
Ambre,T369,188741
Ambre,T370,182055
Ambre,T371,190024
Ambre,T372,185898
Ambre,T373,220157
Ambre,T374,232150
Arnaud,T375,390855
Arnaud,T376,1214059
Arnaud,T377,426855
Arnaud,T378,866375
Arnaud,T379,1224000
Arnaud,T380,1437340
Arnaud,T1346,1437340
Arnaud,T381,676115
Arnaud,T382,182903
Arnaud,T5106,182903
Arnaud,T383,468000
Arnaud,T384,1047270
Arnaud,T385,564208
Olivier,T386,311704
Olivier,T387,239832
Ambre,T388,276026
Ambre,T389,458406
Olivier,T390,1116360
Olivier,T4660,1116360
Ambre,T391,348000
Ambre,T392,240000
Ambre,T393,258870
Ambre,T394,325713
Ambre,T395,447552
Olivier,T396,324143
Ambre,T397,815035
Ambre,T420,815035
Ambre,T398,260654
Ambre,T399,189653
Ambre,T400,238925
Ambre,T401,222419
Ambre,T3873,222419
Ambre,T402,512334
Ambre,T3903,512334
Ambre,T403,193186
Ambre,T404,219064
Ambre,T405,380985
Ambre,T406,302822
Ambre,T407,248293
Ambre,T408,234493
Ambre,T409,215866
Ambre,T410,213477
Ambre,T411,239866
Ambre,T412,220920
Ambre,T413,1040582
Arnaud,T414,396162
Elwin,T415,242821
Fanny,T414,379777
Fanny,T413,200786
Fanny,T416,1405872
Olivier,T405,193323
Olivier,T406,10281834
Olivier,T417,597677
Olivier,T418,186467
Olivier,T414,5672880
Olivier,T419,1260960
Olivier,T397,1605946
Olivier,T420,1605946
Olivier,T421,1649087
Olivier,T1405,1649087
Olivier,T5392,1649087
Olivier,T415,4585962
Olivier,T422,228838
Ambre,T423,473985
Ambre,T424,268800
Ambre,T425,240000
Ambre,T426,250242
Ambre,T427,458000
Ambre,T428,219026
Ambre,T429,202186
Ambre,T430,241466
Ambre,T431,225173
Ambre,T432,204138
Ambre,T433,205320
Fanny,T434,942348
Fanny,T435,1051241
Olivier,T245,718694
Olivier,T436,718694
Ambre,T437,355150
Ambre,T438,932373
Ambre,T439,184960
Ambre,T440,331402
Fanny,T441,1041465
Fanny,T442,185578
Ambre,T443,194543
Ambre,T444,201040
Arnaud,T445,550173
Arnaud,T444,201850
Fanny,T446,310663
Fanny,T447,272943
Ambre,T448,404346
Fanny,T449,1429365
Ambre,T450,305000
Ambre,T451,215435
Fanny,T451,1635505
Ambre,T452,587749
Ambre,T453,254108
Ambre,T454,297512
Elwin,T454,493302
Ambre,T455,972692
Ambre,T456,622638
Ambre,T457,241960
Ambre,T458,801565
Ambre,T459,228288
Ambre,T460,427235
Ambre,T461,200727
Ambre,T462,190066
Ambre,T463,341292
Fanny,T463,3417564
Ambre,T464,1223266
Fanny,T465,182040
Fanny,T464,4599496
Fanny,T466,273917
Fanny,T467,1377679
Fanny,T468,310031
Fanny,T469,196138
Fanny,T3664,196138
Fanny,T5752,196138
Fanny,T470,181312
Fanny,T471,191529
Fanny,T472,1370825
Fanny,T473,184086
Ambre,T474,482586
Fanny,T475,1102535
Ambre,T476,804293
Ambre,T477,216657
Ambre,T478,230195
Ambre,T4412,230195
Ambre,T479,302889
Ambre,T480,418805
Ambre,T481,383741
Ambre,T482,202160
Ambre,T483,193172
Arnaud,T484,228159
Fanny,T480,1163295
Fanny,T485,434695
Fanny,T481,2135575
Fanny,T486,776704
Fanny,T487,862553
Fanny,T488,679350
Fanny,T489,946187
Fanny,T483,585438
Fanny,T482,251718
Fanny,T490,362357
Fanny,T491,249815
Fanny,T492,5642478
Fanny,T493,748160
Fanny,T494,869532
Fanny,T495,773900
Fanny,T496,185117
Fanny,T497,4866889
Ambre,T498,271714
Fanny,T498,755666
Ambre,T499,246212
Ambre,T500,809932
Ambre,T501,203533
Arnaud,T502,853172
Arnaud,T503,853172
Elwin,T502,219203
Elwin,T503,219203
Olivier,T502,639628
Olivier,T503,639628
Ambre,T504,252207
Ambre,T505,586504
Ambre,T506,211681
Olivier,T507,7679008
Ambre,T508,218250
Ambre,T509,531128
Ambre,T510,321600
Ambre,T511,258040
Ambre,T512,588052
Ambre,T513,254857
Ambre,T514,406040
Arnaud,T515,263534
Arnaud,T511,1555823
Arnaud,T512,1471130
Arnaud,T516,712092
Arnaud,T517,367080
Arnaud,T518,241971
Arnaud,T519,241317
Arnaud,T520,625338
Arnaud,T521,1079623
Arnaud,T522,596240
Arnaud,T523,262960
Arnaud,T524,612532
Arnaud,T525,1352453
Fanny,T520,1026427
Ambre,T526,290072
Ambre,T527,409214
Arnaud,T527,457389
Olivier,T528,1590197
Olivier,T529,18404529
Olivier,T530,932703
Olivier,T531,1888565
Olivier,T532,2255275
Olivier,T533,901014
Olivier,T534,53542872
Ambre,T535,362196
Ambre,T1096,362196
Ambre,T536,491282
Ambre,T537,194000
Ambre,T538,203777
Ambre,T539,226132
Ambre,T540,324683
Ambre,T541,359945
Ambre,T542,192736
Ambre,T543,226794
Ambre,T544,460251
Ambre,T545,364443
Ambre,T546,236425
Ambre,T547,360986
Ambre,T548,385228
Ambre,T549,1543404
Ambre,T550,406284
Ambre,T551,1116400
Ambre,T552,321749
